,0
t,1.115334310938846
t_std,1.1224755796002972
t_subj.1,0.9979061731390467
t_subj.2,1.1792038360817878
t_subj.3,1.0456216112630066
t_subj.4,0.9643174715002659
t_subj.5,1.0184619549922735
t_subj.6,1.0448514059272918
t_subj.7,1.0562479616005995
t_subj.8,1.0150420223499614
t_subj.9,1.2405956102198445
t_subj.10,1.6279728963612337
t_subj.11,1.0638459470059007
t_subj.12,0.9547406121591512
t_subj.13,1.4433234529218273
t_subj.14,1.151425290988781
t_subj.15,1.5615743087755676
t_subj.16,1.2987619699066804
t_subj.17,1.0352059574501957
t_subj.18,1.0395323841217967
t_subj.19,1.1010886437515164
t_subj.20,1.1700905703652966
t_subj.21,1.9417305213028393
t_subj.22,1.1103558117912482
t_subj.23,1.1246454378797597
t_subj.24,0.9882221064720174
t_subj.25,1.0514038017223097
t_subj.26,0.9701208108162154
t_subj.27,1.085277348521387
t_subj.28,1.1380769968669389
t_subj.29,1.1253200063470619
t_subj.30,1.0094169172585779
t_subj.31,1.2509765965605275
t_subj.32,1.1925494565846937
t_subj.33,1.4810058714009453
t_subj.34,1.1478224656407081
t_subj.35,1.0393924213850045
t_subj.36,1.0419661112924885
t_subj.37,1.2954314477722482
t_subj.38,1.6373860250676164
t_subj.39,1.4136561975435975
t_subj.40,1.3181152714890836
t_subj.41,0.9995853630554401
z_trans,1.0913005742370745
z_std,1.033728654056381
z_subj_trans.1,1.075836785874143
z_subj_trans.2,1.0804931918284428
z_subj_trans.3,0.998052949138427
z_subj_trans.4,0.9742506946561201
z_subj_trans.5,1.3086889217285846
z_subj_trans.6,1.280642308499855
z_subj_trans.7,0.9747772550814288
z_subj_trans.8,1.047263678632709
z_subj_trans.9,1.4369453971190533
z_subj_trans.10,1.8671525659800703
z_subj_trans.11,1.012534390904895
z_subj_trans.12,0.9801122708873113
z_subj_trans.13,2.107457986169788
z_subj_trans.14,1.0724751445411556
z_subj_trans.15,1.0712080720392207
z_subj_trans.16,1.3589961945704025
z_subj_trans.17,1.0575409709257118
z_subj_trans.18,1.3857786319926337
z_subj_trans.19,1.3316079124457778
z_subj_trans.20,1.1143071224639713
z_subj_trans.21,1.3368424045639733
z_subj_trans.22,0.986090925749548
z_subj_trans.23,1.0930156599017415
z_subj_trans.24,1.0208642981809384
z_subj_trans.25,1.0093293443691582
z_subj_trans.26,1.0235932887434034
z_subj_trans.27,1.4782143465442712
z_subj_trans.28,1.047396476806279
z_subj_trans.29,1.2333995560967712
z_subj_trans.30,1.04857160927668
z_subj_trans.31,1.623722112135714
z_subj_trans.32,1.4407691416889534
z_subj_trans.33,1.660402392110382
z_subj_trans.34,1.4233804605107758
z_subj_trans.35,1.1856135493215993
z_subj_trans.36,0.9916211536755378
z_subj_trans.37,1.6208165702486328
z_subj_trans.38,1.5611126046390966
z_subj_trans.39,1.7934312443096392
z_subj_trans.40,2.4277540005770044
z_subj_trans.41,1.0249564386418697
v_Intercept,0.9955900194168723
v_Intercept_std,1.045791275530662
v_Intercept_subj.1,2.387501404099956
v_Intercept_subj.2,1.5965668560514084
v_Intercept_subj.3,1.406136533830815
v_Intercept_subj.4,1.9518563301025718
v_Intercept_subj.5,1.119581215661613
v_Intercept_subj.6,1.3147661622602298
v_Intercept_subj.7,2.1112080354739127
v_Intercept_subj.8,2.1312480409612893
v_Intercept_subj.9,1.4253724884325025
v_Intercept_subj.10,1.828422254167479
v_Intercept_subj.11,1.410985495705877
v_Intercept_subj.12,1.0815602660155907
v_Intercept_subj.13,1.7834530889317324
v_Intercept_subj.14,1.5146365613878496
v_Intercept_subj.15,1.0286148720078407
v_Intercept_subj.16,1.6483718512796917
v_Intercept_subj.17,1.3850321434923532
v_Intercept_subj.18,1.4234413380329443
v_Intercept_subj.19,1.74575538524417
v_Intercept_subj.20,1.3554267582519344
v_Intercept_subj.21,1.2562197397507893
v_Intercept_subj.22,1.2119623956565764
v_Intercept_subj.23,1.3108177805449746
v_Intercept_subj.24,1.3632609516414167
v_Intercept_subj.25,1.4249841650974757
v_Intercept_subj.26,1.1809224676014878
v_Intercept_subj.27,1.3935667196740162
v_Intercept_subj.28,1.2910178154137364
v_Intercept_subj.29,1.0339033171695486
v_Intercept_subj.30,1.8075127979826453
v_Intercept_subj.31,1.2464594076452127
v_Intercept_subj.32,1.3887217285948699
v_Intercept_subj.33,1.5538533812120299
v_Intercept_subj.34,1.0989647175337953
v_Intercept_subj.35,1.8542212663855946
v_Intercept_subj.36,1.3280076156375233
v_Intercept_subj.37,1.5350196370184004
v_Intercept_subj.38,1.3800243533603762
v_Intercept_subj.39,0.9934694485681873
v_Intercept_subj.40,1.1941837385000817
v_Intercept_subj.41,3.70307115445776
"v_C(rev_cat, Treatment('Alone'))[T.Four]",2.2022359578990587
"v_C(rev_cat, Treatment('Alone'))[T.One]",1.647705511578267
"v_C(rev_cat, Treatment('Alone'))[T.Three]",2.5958404389497387
"v_C(rev_cat, Treatment('Alone'))[T.Two]",2.5454035415095766
"v_C(rev_cat, Treatment('Alone'))[T.Zero]",1.8432948942612841
a_Intercept,1.3331080449862511
a_Intercept_std,1.4305720570581233
a_Intercept_subj.1,1.009079788182672
a_Intercept_subj.2,1.1239425376772958
a_Intercept_subj.3,1.0631109904100573
a_Intercept_subj.4,0.9666043790332018
a_Intercept_subj.5,1.1988658814714912
a_Intercept_subj.6,1.1233139586800593
a_Intercept_subj.7,1.083444321947004
a_Intercept_subj.8,1.0301233177275226
a_Intercept_subj.9,1.6934732304505515
a_Intercept_subj.10,1.1183828295766578
