node,sample,,index_sampled,rt_sampled,index,subj_idx,study,phase,trial,offer,fair_cat,rev_con,response,rt,rev_cat,rev_centered,fair_con
wfpt.1,0,46,142,1.1176737003535189,142,1,Victim,group,178,0.0999999999999996,unfair,0.0,0,-3.53024625599983,Zero,-3.0,1
wfpt.1,0,47,143,1.925473700353519,143,1,Victim,group,179,0.5,unfair,0.0,0,-0.9611218029999691,Zero,-3.0,1
wfpt.1,0,48,144,1.8545044868957976,144,1,Victim,group,180,0.5,unfair,4.0,1,1.02328207599976,Four,3.0,1
wfpt.1,0,49,145,1.0496408231998864,145,1,Victim,group,181,0.800000000000001,unfair,3.0,1,2.7935966099999,Three,1.0,1
wfpt.1,0,50,147,1.5449296664834369,147,1,Victim,alone,183,1.2,unfair,,1,1.3229841299999,Alone,,1
wfpt.1,0,51,153,-1.8702243847694209,153,1,Victim,group,189,1.0,unfair,1.0,1,1.75967143100024,One,-1.0,1
wfpt.1,0,52,158,1.8036737003535188,158,1,Victim,group,195,0.5,unfair,0.0,0,-3.29773643199997,Zero,-3.0,1
wfpt.1,0,53,160,3.414273700353519,160,1,Victim,group,197,0.4,unfair,0.0,0,-2.48310156700018,Zero,-3.0,1
wfpt.1,0,54,167,2.509046053226888,167,1,Victim,group,204,0.19999999999999898,unfair,1.0,1,1.7164352770000701,One,-1.0,1
wfpt.1,0,55,171,-0.8577628044426783,171,1,Victim,group,208,1.0,unfair,2.0,1,1.03650961299991,Two,0.0,1
wfpt.1,0,56,174,1.0668408231998865,174,1,Victim,group,211,1.0,unfair,3.0,1,0.885543017000145,Three,1.0,1
wfpt.1,0,57,176,1.0128408231998864,176,1,Victim,group,213,0.800000000000001,unfair,3.0,1,1.2464671560001102,Three,1.0,1
wfpt.1,0,58,177,2.1220460532268874,177,1,Victim,group,214,0.800000000000001,unfair,1.0,1,1.79794644899994,One,-1.0,1
wfpt.1,0,59,178,1.1506408231998864,178,1,Victim,group,215,0.0999999999999996,unfair,3.0,1,2.2786819159996403,Three,1.0,1
wfpt.1,0,60,182,1.5815044868957977,182,1,Victim,group,219,0.9,unfair,4.0,1,0.9425418410000931,Four,3.0,1
wfpt.1,0,61,183,1.2396761620747536,183,1,Victim,group,220,0.30000000000000104,unfair,2.0,1,1.7835544930003402,Two,0.0,1
wfpt.1,0,62,185,1.4732408231998864,185,1,Victim,group,222,0.6,unfair,3.0,1,1.0902808979999499,Three,1.0,1
wfpt.1,0,63,186,1.444704486895798,186,1,Victim,group,223,0.800000000000001,unfair,4.0,1,0.673259619000419,Four,3.0,1
wfpt.1,0,64,187,1.2462460532268875,187,1,Victim,group,224,1.0,unfair,1.0,1,2.9011245540000297,One,-1.0,1
wfpt.1,0,65,189,1.465273700353519,189,1,Victim,group,226,0.9,unfair,0.0,0,-1.04578956900014,Zero,-3.0,1
wfpt.1,0,66,190,1.1702408231998864,190,1,Victim,group,227,1.1,unfair,3.0,1,1.09359047699991,Three,1.0,1
wfpt.1,0,67,191,2.3493296664834364,191,1,Victim,alone,228,1.0,unfair,,1,0.8756582969999731,Alone,,1
wfpt.1,0,68,197,0.9714761620747538,197,1,Victim,group,234,0.6,unfair,2.0,1,1.26449812200008,Two,0.0,1
wfpt.1,0,69,198,2.3410408231998865,198,1,Victim,group,235,0.30000000000000104,unfair,3.0,1,0.582589133000056,Three,1.0,1
wfpt.1,0,70,200,-2.2561191676377073,200,1,Victim,group,238,0.6,unfair,0.0,1,3.30847112999982,Zero,-3.0,1
