,0
t,1.0829746707773191
t_std,1.378295550295487
t_subj.0,1.3810174316709132
t_subj.1,1.340753853253522
t_subj.2,0.9542536085972871
t_subj.3,0.9996931043335311
t_subj.4,1.653364392302187
t_subj.5,1.171293846876097
t_subj.6,1.3971980585930484
t_subj.7,1.0404674223369452
t_subj.8,1.0647908140789544
t_subj.9,1.0394749932479295
t_subj.10,1.23987824927826
t_subj.11,0.9959705277047204
t_subj.12,1.208014089987653
t_subj.13,1.1382128982828692
t_subj.14,1.1570188738284357
t_subj.15,1.0287198446988182
t_subj.16,1.0045455979402378
t_subj.17,1.0033634395297106
t_subj.18,1.050069217922442
t_subj.19,1.4272409495640968
t_subj.20,1.3745377664796061
t_subj.21,1.0594265300572379
t_subj.22,1.235065653808452
t_subj.23,0.9567450863044288
t_subj.24,1.0431532728983315
t_subj.25,1.0562712024397627
t_subj.26,1.0958736534394562
t_subj.27,1.1594735820985635
t_subj.28,1.3639719528276204
t_subj.29,1.1164990843339238
t_subj.30,1.5756416901436512
t_subj.31,0.9901237228188865
t_subj.32,1.4065567383717823
t_subj.33,1.54505321350808
t_subj.34,1.6925769532013029
t_subj.35,0.9698757936219919
t_subj.36,1.0237675746144992
t_subj.37,1.003167009070948
t_subj.38,0.9832207604353614
t_subj.39,1.3963399026421
z_trans,1.0781179267911094
z_std,1.085522084023372
z_subj_trans.0,1.3274445130988315
z_subj_trans.1,1.4544924500639556
z_subj_trans.2,1.0627921231738695
z_subj_trans.3,1.074358110298368
z_subj_trans.4,1.0927726874899517
z_subj_trans.5,1.1922155494328737
z_subj_trans.6,0.9595076291555719
z_subj_trans.7,0.9623223721119287
z_subj_trans.8,1.1652691975470664
z_subj_trans.9,0.9340561169263154
z_subj_trans.10,1.0503057135467877
z_subj_trans.11,1.0377185279358507
z_subj_trans.12,0.9609398874967511
z_subj_trans.13,1.004632420324657
z_subj_trans.14,1.2022143134331427
z_subj_trans.15,1.0139503260128648
z_subj_trans.16,1.5758464228643083
z_subj_trans.17,1.6715055610132097
z_subj_trans.18,1.2640423067590418
z_subj_trans.19,1.8839221209450263
z_subj_trans.20,1.2391859167758317
z_subj_trans.21,1.0201558535133197
z_subj_trans.22,1.0205517036023142
z_subj_trans.23,1.1411486894130767
z_subj_trans.24,1.023535684926926
z_subj_trans.25,0.9435833941822038
z_subj_trans.26,1.2144736717198383
z_subj_trans.27,1.0845910081850505
z_subj_trans.28,0.9865391843073934
z_subj_trans.29,1.144395456146328
z_subj_trans.30,0.9671443296862826
z_subj_trans.31,1.051561647154577
z_subj_trans.32,1.4555054060178267
z_subj_trans.33,2.1298181529925984
z_subj_trans.34,2.410795304275654
z_subj_trans.35,1.0632230197988644
z_subj_trans.36,0.9785896672517994
z_subj_trans.37,0.9680708373033782
z_subj_trans.38,1.3442811004136908
z_subj_trans.39,1.1135388144075238
v_Intercept,1.1294057321938111
v_Intercept_std,1.203645473824363
v_Intercept_subj.0,1.2620161333476072
v_Intercept_subj.1,1.5348175810806959
v_Intercept_subj.2,1.1565625538042164
v_Intercept_subj.3,1.2334056508256623
v_Intercept_subj.4,1.345816313115023
v_Intercept_subj.5,1.3315355154144437
v_Intercept_subj.6,1.372126504050541
v_Intercept_subj.7,1.1245693892499753
v_Intercept_subj.8,1.2455489639332185
v_Intercept_subj.9,1.2733768243060173
v_Intercept_subj.10,1.4390503127120957
v_Intercept_subj.11,1.4205650137192796
v_Intercept_subj.12,1.1693847728426936
v_Intercept_subj.13,1.4629343613478984
v_Intercept_subj.14,0.9403142693520005
v_Intercept_subj.15,1.1230145675143337
v_Intercept_subj.16,1.111514149994805
v_Intercept_subj.17,1.1256708101617738
v_Intercept_subj.18,1.4045988234675686
v_Intercept_subj.19,1.3878679568186312
v_Intercept_subj.20,1.0458361228615525
v_Intercept_subj.21,1.3315534697212341
v_Intercept_subj.22,1.4507577875674615
v_Intercept_subj.23,1.2835998444135588
v_Intercept_subj.24,1.1668916375177774
v_Intercept_subj.25,1.175341331084095
v_Intercept_subj.26,1.7228957457046534
v_Intercept_subj.27,1.6045391719702962
v_Intercept_subj.28,1.1773962357004872
v_Intercept_subj.29,1.090734084875569
v_Intercept_subj.30,1.154954344928769
v_Intercept_subj.31,1.2592960489405902
v_Intercept_subj.32,1.182654888849768
v_Intercept_subj.33,1.2542378845140345
v_Intercept_subj.34,1.586506598626144
v_Intercept_subj.35,1.2556150003696134
v_Intercept_subj.36,1.2964547469113978
v_Intercept_subj.37,1.4083718130187413
v_Intercept_subj.38,1.713874495494509
v_Intercept_subj.39,1.0019114016225443
"v_C(condition, Treatment('rev_A'))[T.rev_0]",1.3517931229260338
"v_C(condition, Treatment('rev_A'))[T.rev_1]",1.0718629936858666
"v_C(condition, Treatment('rev_A'))[T.rev_2]",1.1127861783395079
"v_C(condition, Treatment('rev_A'))[T.rev_3]",1.3606283305261817
"v_C(condition, Treatment('rev_A'))[T.rev_4]",1.5408051789227357
a_Intercept,1.1503924375101031
a_Intercept_std,1.7394718843079102
a_Intercept_subj.0,1.0047713518259145
a_Intercept_subj.1,0.9466728145922961
a_Intercept_subj.2,1.2520738955260313
a_Intercept_subj.3,1.0841667851093624
a_Intercept_subj.4,1.0975677539721795
a_Intercept_subj.5,0.981711061381687
a_Intercept_subj.6,1.2449568641580055
a_Intercept_subj.7,1.3515490200083844
a_Intercept_subj.8,1.007125584614701
a_Intercept_subj.9,1.3881255372217731
a_Intercept_subj.10,1.0601608052927904
a_Intercept_subj.11,1.0998308452772874
a_Intercept_subj.12,1.2096753705810233
